label/labelVerse,text,textVerse,category,ImageUrl
Flashcard 1,What is the major toxicity concern associated with acetaminophen (Tylenol)?,Hepatotoxicity,renal,https://www.google.com/imgres?q=sistema%20nervoso&imgurl=https%3A%2F%2Fstatic.todamateria.com.br%2Fupload%2F54%2F6f%2F546fe5fe28533-sistema-nervoso-large.jpg&imgrefurl=https%3A%2F%2Fwww.todamateria.com.br%2Fsistema-nervoso%2F&docid=RtYKzT6Lzjq9qM&tbnid=KeBIx4i-8PEYaM&vet=12ahUKEwjHoYT7jqOKAxVGLrkGHXOoG8cQM3oECBkQAA..i&w=600&h=544&hcb=2&itg=1&ved=2ahUKEwjHoYT7jqOKAxVGLrkGHXOoG8cQM3oECBkQAA
Flashcard 2,What antidote is used for acetaminophen overdose?,N-acetylcysteine.,renal,https://www.google.com/imgres?q=sistema%20nervoso&imgurl=https%3A%2F%2Fstatic.todamateria.com.br%2Fupload%2F54%2F6f%2F546fe5fe28533-sistema-nervoso-large.jpg&imgrefurl=https%3A%2F%2Fwww.todamateria.com.br%2Fsistema-nervoso%2F&docid=RtYKzT6Lzjq9qM&tbnid=KeBIx4i-8PEYaM&vet=12ahUKEwjHoYT7jqOKAxVGLrkGHXOoG8cQM3oECBkQAA..i&w=600&h=544&hcb=2&itg=1&ved=2ahUKEwjHoYT7jqOKAxVGLrkGHXOoG8cQM3oECBkQAA
Flashcard 3,What toxic metabolite is produced during acetaminophen metabolism?,N-acetyl-p-benzoquinone imine (NAPQI).,renal,https://www.google.com/imgres?q=sistema%20nervoso&imgurl=https%3A%2F%2Fstatic.todamateria.com.br%2Fupload%2F54%2F6f%2F546fe5fe28533-sistema-nervoso-large.jpg&imgrefurl=https%3A%2F%2Fwww.todamateria.com.br%2Fsistema-nervoso%2F&docid=RtYKzT6Lzjq9qM&tbnid=KeBIx4i-8PEYaM&vet=12ahUKEwjHoYT7jqOKAxVGLrkGHXOoG8cQM3oECBkQAA..i&w=600&h=544&hcb=2&itg=1&ved=2ahUKEwjHoYT7jqOKAxVGLrkGHXOoG8cQM3oECBkQAA
Flashcard 4,How does N-acetylcysteine help in acetaminophen overdose?,It regenerates glutathione stores to detoxify NAPQI.,renal,https://www.google.com/imgres?q=sistema%20nervoso&imgurl=https%3A%2F%2Fstatic.todamateria.com.br%2Fupload%2F54%2F6f%2F546fe5fe28533-sistema-nervoso-large.jpg&imgrefurl=https%3A%2F%2Fwww.todamateria.com.br%2Fsistema-nervoso%2F&docid=RtYKzT6Lzjq9qM&tbnid=KeBIx4i-8PEYaM&vet=12ahUKEwjHoYT7jqOKAxVGLrkGHXOoG8cQM3oECBkQAA..i&w=600&h=544&hcb=2&itg=1&ved=2ahUKEwjHoYT7jqOKAxVGLrkGHXOoG8cQM3oECBkQAA
Flashcard 5,What is the recommended maximum daily dose of acetaminophen to avoid liver damage?,3 grams.,renal,https://www.google.com/imgres?q=sistema%20nervoso&imgurl=https%3A%2F%2Fstatic.todamateria.com.br%2Fupload%2F54%2F6f%2F546fe5fe28533-sistema-nervoso-large.jpg&imgrefurl=https%3A%2F%2Fwww.todamateria.com.br%2Fsistema-nervoso%2F&docid=RtYKzT6Lzjq9qM&tbnid=KeBIx4i-8PEYaM&vet=12ahUKEwjHoYT7jqOKAxVGLrkGHXOoG8cQM3oECBkQAA..i&w=600&h=544&hcb=2&itg=1&ved=2ahUKEwjHoYT7jqOKAxVGLrkGHXOoG8cQM3oECBkQAA
Flashcard 1,What is the major toxicity concern associated with acetaminophen (Tylenol)?,Hepatotoxicity.,toxicology,
Flashcard 2,What antidote is used for acetaminophen overdose?,N-acetylcysteine.,toxicology,
Flashcard 3,What toxic metabolite is produced during acetaminophen metabolism?,N-acetyl-p-benzoquinone imine (NAPQI).,toxicology,
Flashcard 4,How does N-acetylcysteine help in acetaminophen overdose?,It regenerates glutathione stores to detoxify NAPQI.,toxicology,
Flashcard 5,What is the recommended maximum daily dose of acetaminophen to avoid liver damage?,3 grams.,toxicology,
Flashcard 6,What class of drugs can cause tinnitus in overdose?,Aspirin (salicylates).,toxicology,
Flashcard 7,What acid-base disturbance can be caused by aspirin overdose?,Anion gap metabolic acidosis.,toxicology,
Flashcard 8,What treatment promotes the excretion of aspirin by alkalinizing urine?,Sodium bicarbonate (NaHCO3).,toxicology,
Flashcard 9,Why is aspirin contraindicated in children?,It can cause Reye syndrome (liver failure and encephalopathy).,toxicology,
Flashcard 10,What is the primary treatment for beta-blocker overdose?,Glucagon.,toxicology,
Flashcard 11,What cardiovascular effects does digoxin have?,Positive inotropy (increases cardiac contractility).,toxicology,
Flashcard 12,What is the mechanism of action of digoxin?,It inhibits the Na+/K+-ATPase pump.,toxicology,
Flashcard 13,What is the specific antidote for digoxin toxicity?,Digoxin-specific Fab antibody fragments.,toxicology,
Flashcard 14,What signs indicate an opioid overdose?,"Miosis ('pinpoint pupils'), respiratory depression, sedation.",toxicology,
Flashcard 15,What is the treatment for opioid overdose?,"Naloxone, an opioid antagonist.",toxicology,
Flashcard 16,What neurotransmitter do benzodiazepines act on?,GABA (γ-aminobutyric acid).,toxicology,
Flashcard 17,What is the antidote for benzodiazepine overdose?,Flumazenil.,toxicology,
Flashcard 18,Why should caution be used when administering flumazenil?,It can precipitate seizures by blocking GABA receptors.,toxicology,
Flashcard 19,What are the three Cs of tricyclic antidepressant (TCA) toxicity?,"Cardiotoxicity, convulsions, and coma.",toxicology,
Flashcard 20,What is the treatment for TCA overdose?,Sodium bicarbonate (NaHCO3).,toxicology,
Flashcard 21,What is the role of protamine sulfate?,It is the antidote for heparin overdose.,toxicology,
Flashcard 22,What does warfarin inhibit?,"Vitamin K epoxide reductase, blocking synthesis of vitamin K-dependent clotting factors.",toxicology,
Flashcard 23,How do you reverse a warfarin overdose?,Administer 4-factor prothrombin complex concentrate or fresh frozen plasma and vitamin K.,toxicology,
Flashcard 24,What is tissue plasminogen activator (tPA) used for?,Active breakdown of blood clots.,toxicology,
Flashcard 25,What is the antidote for tPA?,"Aminocaproic acid, which prevents the transformation of plasminogen to plasmin.",toxicology,
Flashcard 1,What is the classic example of a drug with flow-dependent metabolism?,Morphine,pharmacology,
Flashcard 2,How is morphine primarily metabolized?,Via liver glucuronidation (phase II metabolism),pharmacology,
Flashcard 3,What are the two major metabolites of morphine?,Morphine-6-glucuronide (M6G) and morphine-3-glucuronide (M3G),pharmacology,
Flashcard 4,Why are M6G and M3G easily excreted from the body?,Because they are polar molecules,pharmacology,
Flashcard 5,What does 'flow-dependent manner' mean in the context of morphine metabolism?,Almost all morphine delivered to the liver is extracted from the plasma and metabolized.,pharmacology,
Flashcard 6,What condition can decrease hepatic blood flow and affect morphine metabolism?,Heart failure with low cardiac output,pharmacology,
